Close,High,Low,Open,Volume
13556.5,13556.5,13556.5,13556.5,0
13542.900390625,13542.900390625,13542.900390625,13542.900390625,0
13540.0,13540.0,13540.0,13540.0,0
13525.7001953125,13525.7001953125,13525.7001953125,13525.7001953125,0
13441.099609375,13441.099609375,13441.099609375,13441.099609375,0
13507.2998046875,13507.2998046875,13507.2998046875,13507.2998046875,0
13521.2998046875,13521.2998046875,13521.2998046875,13521.2998046875,0
13633.099609375,13633.099609375,13633.099609375,13633.099609375,0
13627.599609375,13627.599609375,13627.599609375,13627.599609375,0
13668.099609375,13668.099609375,13668.099609375,13668.099609375,0
13676.2998046875,13676.2998046875,13676.2998046875,13676.2998046875,0
13595.5,13595.5,13595.5,13595.5,0
13465.7001953125,13465.7001953125,13465.7001953125,13465.7001953125,0
